Country,Population,GDP_per_capita,infection_threshold_date,vaccination_threshold_date,infection_speed_pm,vaccination_speed_pm
Afghanistan,39009447.0,,2020-05-24,2021-03-01,16.149079649005706,75.14205469254665
Albania,2877470.0,,,2021-02-25,,624.8544728528881
Algeria,43926079.0,,2020-06-06,2021-02-02,4.821736991366792,269.02523691048793
Andorra,77278.0,,,2021-03-23,,7433.459162282373
Angola,32956300.0,,,2021-03-09,,198.92150109892998
Antigua and Barbuda,98010.0,,,2021-02-28,,5451.068862965608
Argentina,45236884.0,,2020-05-22,2020-12-29,23.67979191493384,247.44409893484263
Armenia,2963811.0,,2020-06-02,2021-05-07,187.24765737986218,408.22585296575033
Aruba,106812.0,,,2021-03-29,,15261.08177608009
Australia,25528864.0,,2020-07-13,2021-02-24,,639.5845371994095
Austria,9011577.0,,2020-03-31,2021-01-08,19.500841343677507,1350.3862335981287
Azerbaijan,10148243.0,,2020-06-15,2021-01-21,50.41266749327938,627.3721113774235
Bahamas,393616.0,,,2021-04-07,,2056.318848827283
Bahrain,1706669.0,,2020-05-28,2020-12-23,297.1675624662232,2654.924509960963
Bangladesh,164851401.0,,2020-05-04,2021-02-01,9.098497136824454,697.3012824642801
Barbados,287411.0,,,2021-02-18,,5754.12910431403
Belarus,9449001.0,,2020-04-26,2021-01-22,97.35067936458749,43.1735432292634
Belgium,11594739.0,,2020-03-29,2021-01-07,104.9268983113807,1340.0359134144085
Belize,398312.0,,,2021-03-16,,1858.5095770819526
Benin,12151976.0,,,2021-05-12,,51.74357377488786
Bermuda,62254.0,,,2021-02-09,,9786.680373951875
Bhutan,772443.0,,,2021-03-27,,17006.044458943896
Bolivia,11688459.0,,2020-06-01,2021-02-10,67.57662979069069,362.1321396316372
Bosnia and Herzegovina,3278650.0,,2020-07-27,2021-03-01,,175.19012300007427
Botswana,2356075.0,,,2021-04-01,,552.5308687824736
Brazil,212710692.0,,2020-04-04,2021-01-19,15.39806627742687,1021.9873354242735
Brunei,437893.0,,,2021-04-21,,1719.5981666754208
Bulgaria,6942854.0,,2020-07-24,2021-01-07,,220.36566902698326
Burkina Faso,20954852.0,,,2021-06-11,,36.62636223820622
Burundi,11922216.0,,,2022-02-07,,4.814641042922763
Cabo Verde,556581.0,,,,,
Cambodia,16741375.0,,,2021-02-16,,818.8544847720094
Cameroon,26606188.0,,2020-06-19,2021-04-28,6.914431585113459,73.42518641623857
Canada,37775022.0,,2020-04-02,2020-12-18,41.1568257988043,503.5593802345547
Cayman Islands,65798.0,,,2021-02-01,,7004.062940109629
Chad,16467965.0,,,2021-06-29,,39.459583963109445
Chile,19132514.0,,2020-04-18,2021-01-05,76.74370446037567,726.0119257371682
Colombia,50936262.0,,2020-05-08,2021-02-19,19.099032695672356,781.1730144888396
Comoros,871326.0,,,2021-04-21,,1721.5141060865851
Congo,5530506.0,,,2021-04-14,,144.00731747390444
Costa Rica,5098730.0,,2020-07-18,2021-01-09,,413.1990664715481
Croatia,4102577.0,,,2021-01-01,,589.4195011791098
Cuba,11325899.0,,,2021-05-31,,12051.505433108077
Cyprus,1208238.0,,,2021-01-16,,1041.0476523113273
Czech Republic,10711019.0,,2020-06-14,2020-12-30,10.322702878845295,831.6139980083437
Denmark,5794279.0,,2020-05-05,2020-12-29,11.448073752287959,1091.0532038009676
Djibouti,989387.0,,,2021-04-17,,141.00287375557824
Dominica,72004.0,,,2021-03-04,,3561.165793819536
Dominican Republic,10858648.0,,2020-05-10,2021-02-19,30.906241734698465,2328.558767168804
Ecuador,17668824.0,,2020-04-20,2021-02-03,46.64713395752881,215.06996353200037
Egypt,102516525.0,,2020-05-12,2021-02-02,9.635194586108597,28.430782256811767
El Salvador,6489514.0,,2020-07-14,2021-02-24,,263.67322901393095
Equatorial Guinea,1407001.0,,,2021-03-24,,1162.7686594868567
Eritrea,3551175.0,,,,,
Estonia,1326627.0,,,2021-01-08,,1086.3641400333327
Ethiopia,115223736.0,,2020-07-20,2021-04-08,,249.03086519141044
Faeroe Islands,48882.0,,,2021-03-28,,6159.504293786851
Falkland Islands,3489.0,,,,,
Fiji,897095.0,,,2021-04-14,,2959.021964812879
Finland,5541604.0,,,2021-01-06,,1222.489012206574
France,65288306.0,,2020-03-19,2021-01-05,70.00539014342527,1090.3504424411522
French Polynesia,281072.0,,,2021-03-02,,2512.4345363465586
Gabon,2230563.0,,,2021-04-28,,178.08942519878732
Gambia,2422754.0,,,2021-04-03,,189.1586386751806
Georgia,3988368.0,,,2021-04-03,,307.67806113511426
Germany,83811260.0,,2020-03-18,2020-12-27,51.3335956688079,821.9305297800479
Ghana,31133483.0,,2020-06-09,2021-03-02,14.199075210013177,565.0416397585291
Gibraltar,33690.0,,,2021-01-24,,22127.23854754131
Greece,10417673.0,,,2021-01-04,,1048.8426734070074
Greenland,56780.0,,,2021-04-14,,3596.3367382881297
Grenada,112576.0,,,2021-03-28,,1337.9405912450256
Guatemala,17946899.0,,2020-06-15,2021-03-06,40.49353224383407,201.28082665794616
Guinea,13164905.0,,,2021-03-31,,204.80968149789157
Guinea-Bissau,1972277.0,,,2021-05-21,,186.77002379595882
Guyana,786936.0,,,2021-03-09,,1809.880346051013
Haiti,11416103.0,,,2021-08-04,,88.82190358653912
Honduras,9919704.0,,2020-06-17,2021-03-17,72.06532237924304,134.65399550004494
Hong Kong,7503041.0,,,2021-02-27,,2050.0043471262743
Hungary,9657785.0,,,2020-12-30,,808.9894351288656
Iceland,341465.0,,,2021-01-23,,1576.3450622074492
India,1381344997.0,,2020-04-13,2021-01-16,1.6313086194208732,200.9053981947905
Indonesia,273808365.0,,2020-04-30,2021-01-13,1.905834152778106,171.17829836937233
Iran,84097623.0,,2020-03-12,2021-02-17,23.763652233864764,45.26207992030088
Iraq,40306025.0,,2020-06-06,2021-03-12,42.3236972636225,111.91505960898377
Ireland,4943200.0,,2020-04-13,2021-01-06,86.00366833899768,1609.456762151373
Isle of Man,85078.0,,,2021-02-04,,5522.7751788554815
Israel,9197590.0,,2020-04-10,2020-12-21,21.99489214022369,11358.84508876782
Italy,60452568.0,,2020-03-10,2020-12-30,73.59874825058438,1036.136849196106
Jamaica,2962478.0,,,2021-03-14,,1388.1847111325944
Japan,126435859.0,,2020-04-18,2021-02-22,1.5056382593696516,192.25716653690787
Jordan,10213138.0,,,2021-01-16,,183.95794503000727
Kazakhstan,18798667.0,,2020-05-30,2021-02-08,20.279806718919666,107.19717282841931
Kenya,53881160.0,,2020-07-12,2021-03-15,,344.2646330884075
